source_data;config_id;out_data;time
data/size-7/mds_ged_blp_2d.csv;divide_and_conquare;pngs/size-7/mds_ged_blp_2d_daq;8.491858720779419
data/size-7/mds_ged_blp_2d.csv;iterative;pngs/size-7/mds_ged_blp_2d_iter;11.2904691696167
data/size-7/mds_katz_cen_2d.csv;iterative;pngs/size-7/mds_katz_cen_2d_iter;12.140823364257812
data/size-7/mds_katz_cen_2d.csv;divide_and_conquare;pngs/size-7/mds_katz_cen_2d_daq;13.591572046279907
data/size-25/mds_katz_cen_2d.csv;iterative;pngs/size-25/mds_katz_cen_2d_iter;17.258748531341553
data/move-12/mds_ged_blp_2d.csv;iterative;pngs/move-12/mds_ged_blp_2d_iter;20.5958194732666
data/move-12/mds_katz_cen_2d.csv;iterative;pngs/move-12/mds_katz_cen_2d_iter;20.378464460372925
data/size-12/pca_katz_cen_2d.csv;iterative;pngs/size-12/pca_katz_cen_2d_iter;24.470490217208862
data/ordinal-8/mds_katz_cen_2d.csv;iterative;pngs/ordinal-8/mds_katz_cen_2d_iter;26.834951400756836
data/ordinal-8/mds_ged_blp_2d.csv;iterative;pngs/ordinal-8/mds_ged_blp_2d_iter;26.967196464538574
data/size-12/mds_sphr_2d.csv;iterative;pngs/size-12/mds_sphr_2d_iter;29.00352191925049
data/size-12/mds_ged_blp_2d.csv;iterative;pngs/size-12/mds_ged_blp_2d_iter;31.758727073669434
data/size-12/mds_katz_cen_2d.csv;iterative;pngs/size-12/mds_katz_cen_2d_iter;35.389007329940796
data/size-12/pca_katz_cen_2d.csv;divide_and_conquare;pngs/size-12/pca_katz_cen_2d_daq;43.199164152145386
data/kamada_l1-mutual_attraction_2d.csv;iterative;pngs/kamada_l1-mutual_attraction_2d_iter;43.57230496406555
data/kk_swap_2d.csv;iterative;pngs/kk_swap_2d_iter;47.66466760635376
data/size-25/mds_katz_cen_2d.csv;divide_and_conquare;pngs/size-25/mds_katz_cen_2d_daq;48.45185351371765
data/move-12/mds_katz_cen_2d.csv;divide_and_conquare;pngs/move-12/mds_katz_cen_2d_daq;49.163028955459595
data/ordinal-8/mds_ged_blp_2d.csv;divide_and_conquare;pngs/ordinal-8/mds_ged_blp_2d_daq;52.28836727142334
data/size-7/mds_katz_cen_2d.csv;global;pngs/size-7/mds_katz_cen_2d_glob;65.26093411445618
data/move-12/mds_ged_blp_2d.csv;divide_and_conquare;pngs/move-12/mds_ged_blp_2d_daq;65.8991334438324
data/size-7/mds_ged_blp_2d.csv;global;pngs/size-7/mds_ged_blp_2d_glob;66.47623252868652
data/size-12/mds_ged_blp_2d.csv;divide_and_conquare;pngs/size-12/mds_ged_blp_2d_daq;74.55809664726257
data/ordinal-8/mds_katz_cen_2d.csv;divide_and_conquare;pngs/ordinal-8/mds_katz_cen_2d_daq;99.11529302597046
data/kk_swap_2d.csv;divide_and_conquare;pngs/kk_swap_2d_daq;131.14387488365173
data/kamada_l1-mutual_attraction_2d.csv;divide_and_conquare;pngs/kamada_l1-mutual_attraction_2d_daq;132.44409894943237
data/size-12/mds_katz_cen_2d.csv;divide_and_conquare;pngs/size-12/mds_katz_cen_2d_daq;139.29744911193848
data/size-12/mds_sphr_2d.csv;divide_and_conquare;pngs/size-12/mds_sphr_2d_daq;187.24596977233887
data/size-25/mds_katz_cen_2d.csv;global;pngs/size-25/mds_katz_cen_2d_glob;351.9469747543335
data/move-12/mds_katz_cen_2d.csv;global;pngs/move-12/mds_katz_cen_2d_glob;504.0785162448883
data/move-12/mds_ged_blp_2d.csv;global;pngs/move-12/mds_ged_blp_2d_glob;508.895316362381
data/size-12/pca_katz_cen_2d.csv;global;pngs/size-12/pca_katz_cen_2d_glob;577.1118686199188
data/ordinal-8/mds_ged_blp_2d.csv;global;pngs/ordinal-8/mds_ged_blp_2d_glob;662.5907933712006
data/ordinal-8/mds_katz_cen_2d.csv;global;pngs/ordinal-8/mds_katz_cen_2d_glob;666.899747133255
data/size-12/mds_sphr_2d.csv;global;pngs/size-12/mds_sphr_2d_glob;960.115434885025
data/size-12/mds_ged_blp_2d.csv;global;pngs/size-12/mds_ged_blp_2d_glob;1106.9387543201447
data/size-12/mds_katz_cen_2d.csv;global;pngs/size-12/mds_katz_cen_2d_glob;1166.7800688743591
data/kamada_l1-mutual_attraction_2d.csv;global;pngs/kamada_l1-mutual_attraction_2d_glob;1542.4368319511414
data/kk_swap_2d.csv;global;pngs/kk_swap_2d_glob;2140.9278037548065
